t,x,y,vx,vy,ux,uy
2.080200463533401489e-01,3.477749586105346680e+00,-8.435486257076263428e-02,2.257117271423339844e+00,7.873293161392211914e-01,4.304227828979492188e+00,2.099283695220947266e+00
2.105263173580169678e-01,3.504663944244384766e+00,-8.332520723342895508e-02,2.272282123565673828e+00,7.960013151168823242e-01,4.273037910461425781e+00,2.097404718399047852e+00
2.130325734615325928e-01,3.531610727310180664e+00,-8.225375413894653320e-02,2.287300109863281250e+00,8.046777248382568359e-01,4.241575241088867188e+00,2.095444917678833008e+00
2.155388444662094116e-01,3.558590412139892578e+00,-8.113981783390045166e-02,2.302170276641845703e+00,8.133580684661865234e-01,4.209842205047607422e+00,2.093401908874511719e+00
2.180451154708862305e-01,3.585600376129150391e+00,-7.998272776603698730e-02,2.316893100738525391e+00,8.220417499542236328e-01,4.177842140197753906e+00,2.091274499893188477e+00
2.205513715744018555e-01,3.612642288208007812e+00,-7.878176867961883545e-02,2.331466913223266602e+00,8.307288885116577148e-01,4.145577430725097656e+00,2.089058876037597656e+00
2.230576425790786743e-01,3.639713764190673828e+00,-7.753646373748779297e-02,2.345891714096069336e+00,8.394180536270141602e-01,4.113051414489746094e+00,2.086754083633422852e+00
2.255639135837554932e-01,3.666815042495727539e+00,-7.624612748622894287e-02,2.360167503356933594e+00,8.481098413467407227e-01,4.080267429351806641e+00,2.084357261657714844e+00
2.280701696872711182e-01,3.693945169448852539e+00,-7.491017878055572510e-02,2.374292850494384766e+00,8.568028211593627930e-01,4.047227859497070312e+00,2.081866979598999023e+00
2.305764406919479370e-01,3.721103906631469727e+00,-7.352834939956665039e-02,2.388268232345581055e+00,8.654969334602355957e-01,4.013936519622802734e+00,2.079280138015747070e+00
2.330827116966247559e-01,3.748289585113525391e+00,-7.209976017475128174e-02,2.402092456817626953e+00,8.741912841796875000e-01,3.980396270751953125e+00,2.076595306396484375e+00
2.355889678001403809e-01,3.775503158569335938e+00,-7.062384486198425293e-02,2.415765762329101562e+00,8.828860521316528320e-01,3.946609735488891602e+00,2.073810338973999023e+00
2.380952388048171997e-01,3.802742958068847656e+00,-6.910052895545959473e-02,2.429287672042846680e+00,8.915801048278808594e-01,3.912580490112304688e+00,2.070923328399658203e+00
2.406015098094940186e-01,3.830009222030639648e+00,-6.752924621105194092e-02,2.442657232284545898e+00,9.002732634544372559e-01,3.878312587738037109e+00,2.067931890487670898e+00
2.431077659130096436e-01,3.857299804687500000e+00,-6.590935587882995605e-02,2.455874919891357422e+00,9.089646339416503906e-01,3.843808889389038086e+00,2.064834356307983398e+00
2.456140369176864624e-01,3.884615898132324219e+00,-6.424055993556976318e-02,2.468940258026123047e+00,9.176538586616516113e-01,3.809073209762573242e+00,2.061628818511962891e+00
2.481202930212020874e-01,3.911955833435058594e+00,-6.252256035804748535e-02,2.481852293014526367e+00,9.263402223587036133e-01,3.774108409881591797e+00,2.058313369750976562e+00
2.506265640258789062e-01,3.939319610595703125e+00,-6.075491383671760559e-02,2.494611978530883789e+00,9.350234270095825195e-01,3.738918304443359375e+00,2.054886341094970703e+00
2.531328201293945312e-01,3.966706037521362305e+00,-5.893762782216072083e-02,2.507217645645141602e+00,9.437023401260375977e-01,3.703507184982299805e+00,2.051345825195312500e+00
2.556391060352325439e-01,3.994114875793457031e+00,-5.707046017050743103e-02,2.519670009613037109e+00,9.523770213127136230e-01,3.667877197265625000e+00,2.047689676284790039e+00
2.581453621387481689e-01,4.021545886993408203e+00,-5.515255033969879150e-02,2.531968593597412109e+00,9.610463380813598633e-01,3.632033824920654297e+00,2.043917179107666016e+00
2.606516182422637939e-01,4.048998832702636719e+00,-5.318491905927658081e-02,2.544113397598266602e+00,9.697096943855285645e-01,3.595980405807495117e+00,2.040026187896728516e+00
2.631579041481018066e-01,4.076472282409667969e+00,-5.116641521453857422e-02,2.556103944778442383e+00,9.783667325973510742e-01,3.559720039367675781e+00,2.036015033721923828e+00
2.656641602516174316e-01,4.103965759277343750e+00,-4.909741878509521484e-02,2.567940235137939453e+00,9.870164394378662109e-01,3.523257732391357422e+00,2.031882286071777344e+00
2.681704163551330566e-01,4.131479263305664062e+00,-4.697776585817337036e-02,2.579622030258178711e+00,9.956583976745605469e-01,3.486597061157226562e+00,2.027627468109130859e+00
2.706767022609710693e-01,4.159012794494628906e+00,-4.480765759944915771e-02,2.591148853302001953e+00,1.004292011260986328e+00,3.449741363525390625e+00,2.023247718811035156e+00
2.731829583644866943e-01,4.186564445495605469e+00,-4.258716106414794922e-02,2.602521419525146484e+00,1.012916088104248047e+00,3.412696361541748047e+00,2.018743038177490234e+00
2.756892144680023193e-01,4.214135169982910156e+00,-4.031614959239959717e-02,2.613739013671875000e+00,1.021530270576477051e+00,3.375464677810668945e+00,2.014111280441284180e+00
2.781955003738403320e-01,4.241724014282226562e+00,-3.799482434988021851e-02,2.624801397323608398e+00,1.030133724212646484e+00,3.338050842285156250e+00,2.009351730346679688e+00
2.807017564773559570e-01,4.269330024719238281e+00,-3.562365472316741943e-02,2.635708808898925781e+00,1.038725852966308594e+00,3.300460577011108398e+00,2.004463195800781250e+00
2.832080125808715820e-01,4.296954154968261719e+00,-3.320261836051940918e-02,2.646461009979248047e+00,1.047305703163146973e+00,3.262696981430053711e+00,1.999444842338562012e+00
2.857142984867095947e-01,4.324594497680664062e+00,-3.073217719793319702e-02,2.657058477401733398e+00,1.055872678756713867e+00,3.224764347076416016e+00,1.994295954704284668e+00
2.882205545902252197e-01,4.352252006530761719e+00,-2.821280807256698608e-02,2.667499780654907227e+00,1.064425826072692871e+00,3.186668395996093750e+00,1.989015102386474609e+00
2.907268106937408447e-01,4.379925727844238281e+00,-2.564476430416107178e-02,2.677786111831665039e+00,1.072964310646057129e+00,3.148412227630615234e+00,1.983602046966552734e+00
2.932330667972564697e-01,4.407615184783935547e+00,-2.302829921245574951e-02,2.687916994094848633e+00,1.081487178802490234e+00,3.110000848770141602e+00,1.978055477142333984e+00
2.957393527030944824e-01,4.435320854187011719e+00,-2.036398649215698242e-02,2.697892665863037109e+00,1.089994430541992188e+00,3.071438550949096680e+00,1.972375512123107910e+00
2.982456088066101074e-01,4.463041305541992188e+00,-1.765269041061401367e-02,2.707712650299072266e+00,1.098484039306640625e+00,3.032731771469116211e+00,1.966561198234558105e+00
3.007518649101257324e-01,4.490777969360351562e+00,-1.489461958408355713e-02,2.717377185821533203e+00,1.106955766677856445e+00,2.993884325027465820e+00,1.960612297058105469e+00
3.032581508159637451e-01,4.518529415130615234e+00,-1.209053397178649902e-02,2.726885557174682617e+00,1.115408897399902344e+00,2.954899549484252930e+00,1.954528093338012695e+00
3.057644069194793701e-01,4.546295166015625000e+00,-9.241044521331787109e-03,2.736238479614257812e+00,1.123842239379882812e+00,2.915784358978271484e+00,1.948308825492858887e+00
3.082706630229949951e-01,4.574076175689697266e+00,-6.346970796585083008e-03,2.745435953140258789e+00,1.132254838943481445e+00,2.876542091369628906e+00,1.941953897476196289e+00
3.107769489288330078e-01,4.601871967315673828e+00,-3.408744931221008301e-03,2.754477739334106445e+00,1.140645980834960938e+00,2.837178707122802734e+00,1.935463428497314453e+00
3.132832050323486328e-01,4.629682064056396484e+00,-4.276782274246215820e-04,2.763363361358642578e+00,1.149014592170715332e+00,2.797698736190795898e+00,1.928837299346923828e+00
3.157894611358642578e-01,4.657506465911865234e+00,2.595975995063781738e-03,2.772093296051025391e+00,1.157360076904296875e+00,2.758107185363769531e+00,1.922075748443603516e+00
3.182957470417022705e-01,4.685346603393554688e+00,5.661144852638244629e-03,2.780667543411254883e+00,1.165681004524230957e+00,2.718409061431884766e+00,1.915178775787353516e+00
3.208020031452178955e-01,4.713200569152832031e+00,8.766815066337585449e-03,2.789085865020751953e+00,1.173976659774780273e+00,2.678609371185302734e+00,1.908146619796752930e+00
3.233082592487335205e-01,4.741068840026855469e+00,1.191253960132598877e-02,2.797348499298095703e+00,1.182246208190917969e+00,2.638713359832763672e+00,1.900979638099670410e+00
3.258145451545715332e-01,4.768952369689941406e+00,1.509678363800048828e-02,2.805454969406127930e+00,1.190488576889038086e+00,2.598725557327270508e+00,1.893677949905395508e+00
3.283208012580871582e-01,4.796850204467773438e+00,1.831907033920288086e-02,2.813405275344848633e+00,1.198702454566955566e+00,2.558651685714721680e+00,1.886242508888244629e+00
3.308270573616027832e-01,4.824763298034667969e+00,2.157826721668243408e-02,2.821199655532836914e+00,1.206887483596801758e+00,2.518496990203857422e+00,1.878673791885375977e+00
3.333333432674407959e-01,4.852691650390625000e+00,2.487374842166900635e-02,2.828837871551513672e+00,1.215041875839233398e+00,2.478265047073364258e+00,1.870972037315368652e+00
3.358395993709564209e-01,4.880634784698486328e+00,2.820378541946411133e-02,2.836320161819458008e+00,1.223165392875671387e+00,2.437963008880615234e+00,1.863138794898986816e+00
3.383458554744720459e-01,4.908593177795410156e+00,3.156821429729461670e-02,2.843646049499511719e+00,1.231256484985351562e+00,2.397594451904296875e+00,1.855174303054809570e+00
3.408521413803100586e-01,4.936568260192871094e+00,3.496563434600830078e-02,2.850815773010253906e+00,1.239314436912536621e+00,2.357165336608886719e+00,1.847079277038574219e+00
3.433583974838256836e-01,4.964559555053710938e+00,3.839513659477233887e-02,2.857828378677368164e+00,1.247337818145751953e+00,2.316680192947387695e+00,1.838855028152465820e+00
3.458646535873413086e-01,4.992568016052246094e+00,4.185582697391510010e-02,2.864685297012329102e+00,1.255326390266418457e+00,2.276144266128540039e+00,1.830502271652221680e+00
3.483709394931793213e-01,5.020592689514160156e+00,4.534658789634704590e-02,2.871385574340820312e+00,1.263278245925903320e+00,2.235562324523925781e+00,1.822022557258605957e+00
3.508771955966949463e-01,5.048635005950927734e+00,4.886667430400848389e-02,2.877928733825683594e+00,1.271193027496337891e+00,2.194939374923706055e+00,1.813416957855224609e+00
3.533834517002105713e-01,5.076695442199707031e+00,5.241508781909942627e-02,2.884314775466918945e+00,1.279069304466247559e+00,2.154280424118041992e+00,1.804686307907104492e+00
3.558897078037261963e-01,5.104773521423339844e+00,5.599088966846466064e-02,2.890544414520263672e+00,1.286906242370605469e+00,2.113590478897094727e+00,1.795832276344299316e+00
3.583959937095642090e-01,5.132871627807617188e+00,5.959333479404449463e-02,2.896616935729980469e+00,1.294702768325805664e+00,2.072873353958129883e+00,1.786855936050415039e+00
3.609022498130798340e-01,5.160988807678222656e+00,6.322149932384490967e-02,2.902532339096069336e+00,1.302457809448242188e+00,2.032135486602783203e+00,1.777759432792663574e+00
3.634085059165954590e-01,5.189126014709472656e+00,6.687478721141815186e-02,2.908290147781372070e+00,1.310170173645019531e+00,1.991380691528320312e+00,1.768543243408203125e+00
3.659147918224334717e-01,5.217285156250000000e+00,7.055239379405975342e-02,2.913890123367309570e+00,1.317839384078979492e+00,1.950613021850585938e+00,1.759209632873535156e+00
3.684210479259490967e-01,5.245464324951171875e+00,7.425345480442047119e-02,2.919332504272460938e+00,1.325464010238647461e+00,1.909837484359741211e+00,1.749759435653686523e+00
3.709273040294647217e-01,5.273666381835937500e+00,7.797764241695404053e-02,2.924616813659667969e+00,1.333043098449707031e+00,1.869059205055236816e+00,1.740195035934448242e+00
3.734335899353027344e-01,5.301892280578613281e+00,8.172444999217987061e-02,2.929743528366088867e+00,1.340575933456420898e+00,1.828280925750732422e+00,1.730517148971557617e+00
3.759398460388183594e-01,5.330140113830566406e+00,8.549322187900543213e-02,2.934710979461669922e+00,1.348060965538024902e+00,1.787508249282836914e+00,1.720728158950805664e+00
3.784461021423339844e-01,5.358413219451904297e+00,8.928374946117401123e-02,2.939520359039306641e+00,1.355497598648071289e+00,1.746745109558105469e+00,1.710829854011535645e+00
3.809523880481719971e-01,5.386713027954101562e+00,9.309573471546173096e-02,2.944170475006103516e+00,1.362885117530822754e+00,1.705994367599487305e+00,1.700823187828063965e+00
3.834586441516876221e-01,5.415036201477050781e+00,9.692873060703277588e-02,2.948662042617797852e+00,1.370222091674804688e+00,1.665260910987854004e+00,1.690710306167602539e+00
3.859649002552032471e-01,5.443388462066650391e+00,1.007829457521438599e-01,2.952993631362915039e+00,1.377507925033569336e+00,1.624548912048339844e+00,1.680493116378784180e+00
3.884711861610412598e-01,5.471767425537109375e+00,1.046584099531173706e-01,2.957165718078613281e+00,1.384741544723510742e+00,1.583861112594604492e+00,1.670172929763793945e+00
3.909774422645568848e-01,5.500175476074218750e+00,1.085549443960189819e-01,2.961177587509155273e+00,1.391921877861022949e+00,1.543201208114624023e+00,1.659751176834106445e+00
3.934836983680725098e-01,5.528613090515136719e+00,1.124731749296188354e-01,2.965029239654541016e+00,1.399048447608947754e+00,1.502572894096374512e+00,1.649230480194091797e+00
3.959899842739105225e-01,5.557081222534179688e+00,1.164131909608840942e-01,2.968720436096191406e+00,1.406120300292968750e+00,1.461978673934936523e+00,1.638611555099487305e+00
3.984962403774261475e-01,5.585579872131347656e+00,1.203754097223281860e-01,2.972250461578369141e+00,1.413136243820190430e+00,1.421422600746154785e+00,1.627897143363952637e+00
4.010024964809417725e-01,5.614110946655273438e+00,1.243608146905899048e-01,2.975619316101074219e+00,1.420095682144165039e+00,1.380906701087951660e+00,1.617087721824645996e+00
4.035087823867797852e-01,5.642675876617431641e+00,1.283699721097946167e-01,2.978826284408569336e+00,1.426997542381286621e+00,1.340433835983276367e+00,1.606185555458068848e+00
4.060150384902954102e-01,5.671274185180664062e+00,1.324037760496139526e-01,2.981871128082275391e+00,1.433841586112976074e+00,1.300006866455078125e+00,1.595191717147827148e+00
4.085212945938110352e-01,5.699906826019287109e+00,1.364633589982986450e-01,2.984753608703613281e+00,1.440626740455627441e+00,1.259628057479858398e+00,1.584108352661132812e+00
