t,x,y,vx,vy,ux,uy
6.911269837220803680e+00,6.400000000000000355e+00,8.000000000000000000e+00,2.000000000000010658e+00,0.000000000000000000e+00,2.881866219908271631e+00,3.829758226073946004e-01
7.011269837220803325e+00,6.600000000000000533e+00,8.000000000000000000e+00,2.000000000000014211e+00,0.000000000000000000e+00,3.036626158038781220e+00,-4.959988000909067163e-02
7.111269837220802970e+00,6.800000000000000711e+00,8.000000000000000000e+00,2.000000000000007105e+00,0.000000000000000000e+00,2.795430137425700678e+00,-4.346946471905971388e-01
7.211269837220802614e+00,7.000000000000000000e+00,8.000000000000000000e+00,2.000000000000007105e+00,0.000000000000000000e+00,2.250406839992005636e+00,-6.281444266285808320e-01
7.311269837220802259e+00,7.200000000000001066e+00,8.000000000000000000e+00,2.000000000000007105e+00,0.000000000000000000e+00,1.609736640696822096e+00,-5.712953772625788407e-01
7.411269837220801904e+00,7.400000000000000355e+00,8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.118133780091734142e+00,-3.085422335470984212e-01
7.511269837220801548e+00,7.599999999999999645e+00,8.000000000000000000e+00,2.000000000000007105e+00,0.000000000000000000e+00,9.633738419612178916e-01,3.874608637346978190e-02
7.611269837220801193e+00,7.800000000000000711e+00,8.000000000000000000e+00,2.000000000000007105e+00,0.000000000000000000e+00,1.204569862574291994e+00,3.281720146468903865e-01
7.711269837220800838e+00,8.000000000000000000e+00,8.000000000000000000e+00,1.757359312880719671e+00,-5.857864376269006357e-01,1.163806722381084402e+00,-9.578399226978828729e-01
7.852691193458110064e+00,8.200000000000001066e+00,7.800000000000000711e+00,1.414213562373099364e+00,-1.414213562373099364e+00,1.998045973327575719e+00,-1.071729023602170594e+00
7.994112549695419290e+00,8.400000000000000355e+00,7.599999999999999645e+00,1.414213562373099364e+00,-1.414213562373099364e+00,2.305377269235716842e+00,-1.399960010773308117e+00
8.135533905932728516e+00,8.600000000000001421e+00,7.400000000000000355e+00,1.414213562373099364e+00,-1.414213562373092259e+00,1.943194873474665574e+00,-1.670473189436170625e+00
8.276955262170037741e+00,8.800000000000000711e+00,7.200000000000001066e+00,1.414213562373092259e+00,-1.414213562373099364e+00,1.295323619122592529e+00,-1.704499507948582515e+00
8.418376618407346967e+00,9.000000000000000000e+00,7.000000000000000000e+00,1.414213562373099364e+00,-1.414213562373099364e+00,8.914051889254249739e-01,-1.535513064478411627e+00
8.559797974644656193e+00,9.200000000000001066e+00,6.800000000000000711e+00,1.414213562373099364e+00,-1.414213562373095812e+00,9.601768543924575905e-01,-1.341209346284074844e+00
8.701219330881965419e+00,9.400000000000000355e+00,6.600000000000000533e+00,1.414213562373099364e+00,-1.414213562373099364e+00,1.302329008590522585e+00,-1.271294678488025909e+00
8.842640687119274645e+00,9.600000000000001421e+00,6.400000000000000355e+00,1.414213562373099364e+00,-1.414213562373099364e+00,1.551375755620389540e+00,-1.330458704696527494e+00
8.984062043356583871e+00,9.800000000000000711e+00,6.200000000000000178e+00,1.414213562373078048e+00,-1.414213562373106470e+00,1.551375755620389540e+00,-1.330458704696527494e+00
