t,speed,u_mag,risk
0.2005012482404709,2.3381733510256746,4.873884112470608,0.192619498460038
0.20300751924514768,2.3557452735500948,4.845805308658692,0.19485044318338562
0.20551379024982447,2.3731860413815284,4.817469386047105,0.19710156313145683
0.20802004635334012,2.39049489206938,4.788879747580015,0.19937234117900665
0.21052631735801697,2.407671934201986,4.760037766342105,0.201662459684437
0.21303257346153257,2.4247160727457246,4.730945986675829,0.20397141348465783
0.2155388444662094,2.441626369900243,4.701606421583963,0.20629880726403932
0.21804511547088623,2.458403196979206,4.672022472368434,0.20864396234121668
0.22055137157440183,2.4750451417423966,4.6421955173913965,0.21100651274065205
0.22305764257907867,2.491551846343872,4.612129068423482,0.21338569100761104
0.2255639135837555,2.507923632587582,4.581825781198414,0.21578093617030805
